,name,glass,instructions,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,ingredient_14,ingredient_15,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measuremnt_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,image_url
317,Brooklyn,Cocktail glass,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,Rye Whiskey,Dry Vermouth,Maraschino Liqueur,Angostura Bitters,Maraschino Cherry,,,,,,,,,,,2 oz,1 oz,1/4 oz,3 dashes,1,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg
318,Captain Kidd's Punch,Collins glass,Mix all ingredients together in a shaker and strain into a collins glass. Use Caribbean dark Rum for a sweeter taste.,Rum,Lime Juice,Egg White,Bitters,Sugar,Nutmeg,,,,,,,,,,2 shots,1 shot,1 shot,1 dash,Ground,Top,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/d83spj1596017390.jpg
319,Cherry Electric Lemonade,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg
320,Corn n Oil,Old-fashioned glass,"Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.",Lime,Falernum,Angostura Bitters,Añejo rum,blackstrap rum,,,,,,,,,,,1/2,1/3 oz,2 dashes,1 oz,1 oz,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/pk6dwi1592767243.jpg
321,Corpse Reviver #2,Cocktail glass,"Shake, strain, straight up, cocktail glass rinsed with absinthe
",Gin,Triple Sec,Lillet Blanc,Lemon Juice,Absinthe,,,,,,,,,,,3/4 oz,3/4 oz,3/4 oz,3/4 oz,1 dash,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/gifgao1513704334.jpg
322,Cosmopolitan,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,Absolut Citron,Lime juice,Cointreau,Cranberry juice,,,,,,,,,,,,1 1/4 oz ,1/4 oz ,1/4 oz ,1/4 cup ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg
323,Cosmopolitan Martini,Cocktail Glass,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass.",Cointreau,Vodka,Lime,Cranberry juice,,,,,,,,,,,,1/2 oz ,1 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/upxxpq1439907580.jpg
324,Cream Soda,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,Spiced rum,Ginger ale,,,,,,,,,,,,,,1 oz ,,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg
325,Dark Caipirinha,Highball glass,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",demerara Sugar,Lime,Cachaca,,,,,,,,,,,,,2 tsp ,1,2 1/2 oz,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg
326,Death in the Afternoon,Margarita glass,"Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect.",Absinthe,Champagne,,,,,,,,,,,,,,2 shots,Top,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/y7s3rh1598719574.jpg
327,Dirty Martini,Cocktail glass,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,,,,,,,70ml/2fl oz,1 tbsp,2 tbsp,1 wedge,1,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg
328,Dry Martini,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",Gin,Dry Vermouth,Olive,,,,,,,,,,,,,1 2/3 oz ,1/3 oz ,1 ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg
329,Duchamp's Punch,Old-fashioned glass,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs",Pisco,Lime Juice,Pineapple Syrup,St. Germain,Angostura Bitters,Pepper,Lavender,,,,,,,,,5 cl,2.5 cl,2.5 cl,1.5 cl,2 Dashes,Pinch,2 sprigs,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg
330,Empellón Cocina's Fat-Washed Mezcal,Beer Glass,"To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking, straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
Garnish with 5 drops habanero tincture.",Mezcal,Chocolate liqueur,Coffee liqueur,,,,,,,,,,,,,2 oz,3/4 oz,1/2 oz,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/osgvxt1513595509.jpg
331,Espresso Martini,Cocktail glass,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",Vodka,Kahlua,Sugar syrup,,,,,,,,,,,,,5 cl,1 cl,1 dash,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg
332,Espresso Rumtini,Cocktail glass,Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,Rum,Vanilla syrup,Espresso,Coffee,,,,,,,,,,,,1 shot,1/2 shot,1 shot,1 shot,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/acvf171561574403.jpg
333,Flaming Lamborghini,Cocktail glass,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",Kahlua,Sambuca,Blue Curacao,Baileys irish cream,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg
334,French Martini,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,Vodka,Raspberry Liqueur,pineapple juice,,,,,,,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg
335,French Negroni,Martini Glass,"Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.",Gin,Lillet,Sweet Vermouth,Orange Peel,,,,,,,,,,,,1 oz,1 oz,1 oz,1,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/x8lhp41513703167.jpg
336,Funk and Soul,Collins glass,Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,Rum,Apricot Nectar,Pomegranate juice,lemon,Soda Water,,,,,,,,,,,2 shots,1 shot,1 shot,Juice of 1/2,Top,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qtv83q1596015790.jpg
337,Gagliardo,Cocktail glass,"Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",Peach Vodka,Lemon juice,Galliano,Sirup of roses,,,,,,,,,,,,5 parts ,3 parts ,1 part ,1 part ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/lyloe91487602877.jpg
338,Gimlet,Martini Glass,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.",Gin,Lime Juice,Sugar Syrup,Lime,,,,,,,,,,,,2 1/2 oz,1/2 oz,1/2 oz,1,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/3xgldt1513707271.jpg
339,Gin Basil Smash,Highball glass,"Muddle Basil leaves (~ 10) with Suggar Syrup in a shaker. Add Gin an Lemon Juice.
Filter and serve in a tumbler with ice",Gin,Lemon Juice,Sugar Syrup,Basil,,,,,,,,,,,,6 cl,2 cl,2 cl,Whole,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/jqh2141572807327.jpg
340,Gin Rickey,Highball glass,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,Gin,Grenadine,lemon,Soda Water,Lime,,,,,,,,,,,2 oz ,1 tsp ,Juice of 1/2 ,Top up with,Garnish,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg
341,Greyhound,Collins glass,"Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

",Vodka,Grapefruit Juice,,,,,,,,,,,,,,1 1/2 oz,3 oz,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/g5upn41513706732.jpg
342,Honey Bee,Margarita glass,"Shake ingredients with crushed ice
",White Rum,Honey,Lemon Juice,,,,,,,,,,,,,6 cl,2 cl,2 cl,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vu8l7t1582475673.jpg
343,Hunter's Moon,Balloon Glass,"Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange.",Vermouth,Maraschino Cherry,Sugar Syrup,Lemonade,Blackberries,,,,,,,,,,,25 ml,15 ml,10 ml,100 ml,2,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/t0iugg1509556712.jpg
344,Imperial Cocktail,Cocktail glass,Shake with ice and strain into cocktail glass.,Lime juice,Gin,Aperol,,,,,,,,,,,,,4 cl ,2 cl ,4 cl ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg
345,Irish Curdling Cow,Highball glass,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",Baileys irish cream,Bourbon,Vodka,Orange juice,,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,2-3 oz ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg
346,Jitterbug,Cocktail Glass,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,,,,,,,2 jiggers ,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with ,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg
347,Lazy Coconut Paloma,Highball glass,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.,Coconut Liqueur,Grapefruit Juice,Soda Water,,,,,,,,,,,,,30 ml,75 ml,Top,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/rytuex1598719770.jpg
348,Lemon Drop,Cocktail glass,Shake and strain into a chilled cocktail glass rimmed with sugar.,Absolut Vodka,Cointreau,Lemon,,,,,,,,,,,,,1 1/2 shot ,1 1/2 shot ,Juice of 1 wedge ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg
349,Malibu Twister,Highball glass,"Add rum & trister then, add cranberry jucie,stir",Malibu rum,Tropicana,Cranberry juice,,,,,,,,,,,,,2 parts ,2 parts ,1 part ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/2dwae41504885321.jpg
350,Manhattan,Cocktail glass,"Stirred over ice, strained into a chilled glass, garnished, and served up.",Sweet Vermouth,Bourbon,Angostura bitters,Ice,Maraschino cherry,Orange peel,,,,,,,,,,3/4 oz ,2 1/2 oz Blended ,dash ,2 or 3 ,1 ,1 twist of ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/hz7p4t1589575281.jpg
351,Martinez 2,Cocktail glass,"Add all ingredients to a mixing glass and fill with ice.

Stir until chilled, and strain into a chilled coupe glass.",Gin,Sweet Vermouth,Maraschino Liqueur,Angostura Bitters,,,,,,,,,,,,1 1/2 oz,1 1/2 oz,1 tsp,2 dashes,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/fs6kiq1513708455.jpg
352,Martinez Cocktail,Cocktail glass,Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,Gin,Dry Vermouth,Triple sec,Orange bitters,Cherry,,,,,,,,,,,1 oz ,1 oz ,1/4 tsp ,1 dash ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/wwxwvr1439906452.jpg
353,Martini,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",Gin,Dry Vermouth,Olive,,,,,,,,,,,,,1 2/3 oz ,1/3 oz ,1 ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg
354,Mary Pickford,Cocktail glass,Shake and strain into a chilled large cocktail glass,Light rum,Pineapple juice,Maraschino liqueur,Grenadine,Maraschino cherry,,,,,,,,,,,1 1/2 oz ,1 oz ,1/2 tsp ,1/2 tsp ,1 ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/f9erqb1504350557.jpg
355,Miami Vice,Cocktail glass,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).",151 proof rum,Pina colada mix,Daiquiri mix,,,,,,,,,,,,,5 oz Bacardi ,frozen ,frozen ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qvuyqw1441208955.jpg
356,Midnight Mint,Cocktail glass,"If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass.",Baileys irish cream,White Creme de Menthe,Cream,,,,,,,,,,,,,1 oz ,3/4 oz ,3/4 oz double ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/svuvrq1441208310.jpg
357,Mojito,Highball glass,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,Light rum,Lime,Sugar,Mint,Soda water,,,,,,,,,,,2-3 oz ,Juice of 1 ,2 tsp ,2-4 ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/3z6xdi1589574603.jpg
358,Mojito #3,Collins glass,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.",Mint,Lemon juice,Dark rum,Club soda,Angostura bitters,,,,,,,,,,,1/2 handful ,3 cl ,1/8 L Jamaican ,1/8 L ,8 drops ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vwxrsw1478251483.jpg
359,Munich Mule,Highball glass,"Fill glass with ice
Pour Gin and Lime Juice
Fill glass with Ginger Beer
Garnish with Cucumer and Lime slice",Gin,Lime Juice,Ginger Beer,Cucumber,lemon,,,,,,,,,,,5 cl,2 cl,10 cl,Chopped,Chopped,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/rj55pl1582476101.jpg
360,New York Lemonade,Cocktail glass,Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.,Absolut Citron,Grand Marnier,Lemon juice,Club soda,,,,,,,,,,,,2 oz ,1 oz ,2 oz sweetened ,1 oz ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/b3n0ge1503565473.jpg
361,Oatmeal Cookie,Mason jar,"Just mix it all together.
It's meant to be a shot, but it works just fine as a proper adult-sized drink over lots of ice.

Tastes like an oatmeal cookie.",Kahlua,Bailey,Butterscotch schnapps,Jagermeister,Goldschlager,,,,,,,,,,,2 parts,2 parts,4 parts,1 part,1/2 part,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/bsvmlg1515792693.jpg
362,Old Fashioned,Old-fashioned glass,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",Bourbon,Angostura bitters,Sugar,Water,,,,,,,,,,,,4.5 cL,2 dashes,1 cube,dash,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg
363,Old Pal,Nick and Nora Glass,"Chill cocktail glass. Add ingredients to a mixing glass, and fill 2/3 full with ice. Stir about 20 seconds. Empty cocktail glass and strain into the glass. Garnish with a twist of lemon peel.",Rye whiskey,Campari,Dry Vermouth,,,,,,,,,,,,,2 oz,1 oz,1 oz,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/x03td31521761009.jpg
364,Orangeade,Highball glass,"Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw.",Lemon juice,Orange juice,Sugar syrup,Soda water,,,,,,,,,,,,5 cl ,15 cl ,2-3 cl ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ytsxxw1441167732.jpg
365,Paloma,Collins glass,Stir together and serve over ice.,Grape Soda,Tequila,,,,,,,,,,,,,,3 oz,1 1/2 oz,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/samm5j1513706393.jpg
366,Passion Fruit Martini,Cocktail glass,Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.,Vodka,Sugar Syrup,Passion fruit juice,,,,,,,,,,,,,1 shot,1/2 shot,Full Glass,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/6trfve1582473527.jpg
367,Pegu Club,Cocktail glass,"Shake, strain, up, cocktail glass",Gin,Orange Curacao,Lime Juice,Angostura Bitters,Orange Bitters,,,,,,,,,,,1 1/2 oz,3/4 oz,3/4 oz,1 dash,1 dash,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/jfkemm1513703902.jpg
368,Penicillin,Old-fashioned glass,"Shake blended Scotch, lemon juice, honey syrup and ginger syrup with ice. Strain over large ice in chilled rocks glass. Float smoky Scotch on top (be sure to use a smoky Scotch such as an Islay single malt). Garnish with candied ginger.",Blended Scotch,Lemon Juice,Honey syrup,Ginger Syrup,Islay single malt Scotch,,,,,,,,,,,2 oz,3/4 oz,2 tsp,2 tsp,1/4 oz,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/hc9b1a1521853096.jpg
369,Pineapple Paloma,Collins glass,"Rub the rim of each glass with lime slice and dip into salt.
Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda.
Give it a quick stir.
Garnish with fresh pineapple or lime.",Tequila,Grapefruit Juice,Fresh Lime Juice,Pineapple Juice,Lime,Pepper,,,,,,,,,,4 oz,4 oz,1 oz,8 oz,Garnish with,Rimmed,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/pg8iw31593351601.jpg
370,Pisco Sour,Cocktail glass,"Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.[1]",Pisco,Lemon juice,Sugar,Ice,,,,,,,,,,,,2 oz ,1 oz ,1-2 tblsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/tsssur1439907622.jpg
371,Rail Splitter,Highball glass,Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.,Sugar syrup,Lemon juice,Ginger ale,,,,,,,,,,,,,2 tsp ,,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/stsuqq1441207660.jpg
372,Raspberry Julep,Cordial glass,"Softly muddle the mint leaves and raspberry syrup in the bottom of the cup. Add crushed ice and Bourbon to the cup and then stir. Top with more ice, garnish with a mint sprig.",Bourbon,Raspberry syrup,Mint,,,,,,,,,,,,,2 oz,1/2 oz,8,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/hyztmx1598719265.jpg
373,Rosemary Blue,Balloon Glass,"1) Add the Bombay Sapphire, Blue Curacao, rosemary sprig and gently squeezed lemon wedge to a balloon glass. Swirl well to combine.
2) Fill with cubed ice and top with the Fever-Tree Light Tonic Water.
3) Gently fold with a bar spoon to mix.",Gin,Blue Curacao,Tonic Water,Rosemary,,,,,,,,,,,,50 ml,15 ml,100 ml,Garnish with,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qwc5f91512406543.jpg
374,Ruby Tuesday,Highball glass,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,Gin,Cranberry juice,Grenadine,,,,,,,,,,,,,2 oz ,5 oz ,2 splashes ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qsyqqq1441553437.jpg
375,Salted Toffee Martini,Cocktail glass,"Add ice, toffee gin, chocolate liqueur and Amaretto to a cocktail shaker and shake vigorously. 
Pour the chocolate syrup into a saucer and dip the top of a martini glass into the sauce. Grate some of the Willie\'s sea salt chocolate into another saucer and dip the coated glass, so the flakes stick to the sauce, creating a chocolate rim!
Pour the contents of the shaker into your chocolatey glass and sprinkle with more grated chocolate - enjoy!  ",Gin,Chocolate liqueur,Amaretto,Chocolate Sauce,Salted Chocolate,,,,,,,,,,,50 ml ,30 ml ,15 ml,Garnish,Grated,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/3s6mlr1509551211.jpg
376,Shark Attack,Pitcher,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,Lemonade,Water,Vodka,,,,,,,,,,,,,1 can ,3 cans ,1 1/2 cup ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg
377,Smashed Watermelon Margarita,Collins glass,"In a mason jar muddle the watermelon and 5 mint leaves together into a puree and strain. Next add the grapefruit juice, juice of half a lime and the tequila as well as some ice. Put a lid on the jar and shake. Pour into a glass and add more ice. Garnish with fresh mint and a small slice of watermelon.",Watermelon,Mint,Grapefruit Juice,Lime,Tequila,Watermelon,Mint,,,,,,,,,1/2 cup,5,1/3 Cup,Juice of 1/2,1 shot,Garnish with,Garnish with,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/dztcv51598717861.jpg
378,Spice 75,Wine Glass,"Gently warm 60g golden caster sugar in a pan with 30ml water and 1 tbsp allspice. Cook gently until the sugar has dissolved, then leave the mixture to cool. Strain through a sieve lined with a coffee filter (or a double layer of kitchen paper).

Pour 60ml of the spiced syrup into a cocktail shaker along with 200ml rum and 90ml lime juice. Shake with ice and strain between six flute glasses. Top up with 600ml champagne and garnish each with an orange twist.",Sugar,Allspice,Rum,Lime Juice,Champagne,Orange spiral,,,,,,,,,,60 ml,1 tblsp,20 cl,90 ml,6 cl,Garnish with,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/0108c41576797064.jpg
379,Spritz Veneziano,Wine Glass,"Build into glass over ice, garnish and serve.",Prosecco,Aperol,Soda Water,,,,,,,,,,,,,6 cl,4 cl,Top,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/51ezka1551456113.jpg
380,Tequila Sunrise,Highball glass,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",Tequila,Orange juice,Grenadine,,,,,,,,,,,,,2 measures ,,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg
381,The Evil Blue Thing,Old-fashioned glass,"Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun"".",Creme de Cacao,Blue Curacao,Light rum,,,,,,,,,,,,,1 1/2 oz ,1 oz ,1/2 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ojnpz71504793059.jpg
382,The Jimmy Conway,Whiskey sour glass,"Fill glass with ice
Pour in The Irishman and Disaronno
Fill to the top with Cranberry Juice
Garnish with a slice of lemon…Enjoy!",Irish Whiskey,Amaretto,Cranberry Juice,,,,,,,,,,,,,50 ml,50 ml,4 oz,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/wbcvyo1535794478.jpg
383,The Last Word,Cocktail glass,Shake with ice and strain into a cocktail glass.,Green Chartreuse,Maraschino Liqueur,Lime Juice,,,,,,,,,,,,,1 oz,1 oz,1 oz,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/91oule1513702624.jpg
384,The Laverstoke,Balloon Glass,"1) Squeeze two lime wedges into a balloon glass then add the cordial, Bombay Sapphire and MARTINI Rosso Vermouth, swirl to mix.

2) Fully fill the glass with cubed ice and stir to chill.

3) Top with Fever-Tree Ginger Ale and gently stir again to combine.

4) Garnish with a snapped ginger slice and an awoken mint sprig.",Gin,Elderflower cordial,Rosso Vermouth,Tonic Water,Lime,Ginger,Mint,,,,,,,,,50 ml,15 ml,15 ml,75 ml,2 Wedges,1 Slice,1 Large Sprig,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/6xfj5t1517748412.jpg
